"","Variable","PC1","PC2","PC3","PC4","PC5","PC6","Site"
"58","Temperature",-0.613501853047562,-0.173134503545571,0.164414948072895,0.342822499267872,-0.136661062352697,-0.65605192848721,"FC1"
"59","Nitrate",-0.11673329875533,0.354342552190748,0.831593239481101,-0.370736323219685,-0.166147569675171,0.064937973902463,"FC1"
"60","Phosphate",-0.488065123772032,0.107646517636983,-0.373582880024497,-0.723481380778137,0.277348417235646,-0.101454625694773,"FC1"
"61","Tidal Height",-0.443054785308992,0.279525648284243,-0.323859290290447,0.670593709243961,-0.0856376722157167,-0.404540845253657,"HC1"
"62","Chlorophyll",0.509337861535436,0.147342552276916,-0.332891737655351,-0.294220913027169,0.143785432827578,-0.707677899711358,"HC1"
"63","Phycocyanin",-0.272056086876225,-0.497343337452218,-0.750556459832741,-0.200330340443886,0.207532409096395,0.179159551130024,"HC1"
"64","Temperature",0.349095400575655,0.593632690736555,-0.356713262966431,0.169478052299963,0.294480434225106,0.532021373120336,"HC1"
"65","Nitrate",-0.457953708226429,0.241220841292308,0.254903123195724,-0.264165152951448,0.761020118883172,-0.134834918526846,"HC1"
"66","Phosphate",-0.372389162078456,0.492156401103142,-0.169538483848413,-0.570175278236676,-0.512885845088692,0.0470462890085662,"HC1"
"67","Tidal Height",0.5734137696781,-0.0379839978404439,0.049709049023089,-0.353471751925543,0.0868197531176435,-0.731302212601676,"HC2"
"68","Chlorophyll",-0.509569368058738,0.324434688227419,-0.0294578109761923,0.29944937916374,0.544045920437157,-0.498555448628962,"HC2"
"69","Phycocyanin",0.163875995774314,0.0457818689273347,-0.93564689328301,-0.0975294102729045,0.257739210620876,0.140257203083105,"HC2"
"70","Temperature",-0.189487514385055,0.687939728897394,0.0687161393574821,-0.678193495202756,-0.0840901623408388,0.138180791540349,"HC2"
"71","Nitrate",0.499178030225012,0.24190671716171,0.320427526449128,0.142564968449929,0.635255047458933,0.407130064076868,"HC2"
"72","Phosphate",0.315588564307387,0.599519340019136,-0.117602854527679,0.543695334609832,-0.468430075366907,-0.110084673064061,"HC2"
"73","Tidal Height",0.259544360304041,0.609344394514433,-0.0388361955132616,0.666317227886641,-0.32649840234596,0.0961666725703779,"JIC1"
"74","Chlorophyll",-0.525012381442262,-0.128875366483227,0.258681465813145,0.516017386176772,0.477284574920533,0.383095980398019,"JIC1"
"75","Phycocyanin",0.546786643254585,-0.213269886859334,0.138184166104265,0.321331907895914,0.527144008225785,-0.505282552553602,"JIC1"
"76","Temperature",-0.571222324944778,0.235411198684288,0.167653154976778,0.0666762528315269,-0.121181296091661,-0.755677453303281,"JIC1"
"77","Nitrate",0.0614599875614824,0.706674784192704,0.207503315571053,-0.418470904155388,0.518385402913334,0.0996718102770764,"JIC1"
