Sample,Date,a (412)
HC1,10/27/2021,1.3818
HC2,10/27/2021,1.6121
JIC1,10/27/2021,2.5333
JIC2,10/27/2021,3.03996
SC1,10/27/2021,8.7514
SC2,10/27/2021,1.28968
SC3,10/27/2021,2.16482
SR1,10/27/2021,2.5333
WC1,10/27/2021,4.05328
WR1,10/27/2021,1.6121
